prediction_id,bin_nr,accuracy
1,1,82.36
2,1,82.36
3,1,82.36
4,1,82.36
5,2,76.13
6,2,64.16
7,3,51.70
8,2,39.74
9,1,46.89
10,3,65.58
11,3,69.91
12,2,41.81
13,3,43.47
14,1,70.37
15,3,72.41
16,3,77.93
17,3,81.24
18,1,63.85
19,2,42.87
20,2,51.40
21,1,67.99
22,3,41.40
23,3,85.14
24,1,80.66
25,1,41.75
26,2,37.59
27,3,68.09
28,3,62.15
29,3,61.95
30,2,42.36
31,3,58.38
32,3,57.46
33,3,63.12
34,3,58.12
35,2,64.16
36,2,69.41
37,2,52.70
38,1,80.48
39,2,59.22
40,3,73.66
41,2,69.45
42,2,61.79
43,2,36.57
44,2,36.57
45,2,36.57
46,2,36.57
47,1,55.68
48,1,60.89
49,2,52.35
50,3,93.15
51,3,80.30
52,2,47.20
53,3,90.42
54,3,86.21
55,3,77.63
56,2,71.44
57,3,54.80
58,2,29.77
59,2,48.92
60,3,71.85
61,2,67.31
62,1,78.21
63,2,66.94
64,2,73.86
65,2,58.63
66,1,70.23
67,1,80.11
68,1,53.80
69,3,91.53
70,1,28.06
71,2,42.53
72,2,33.39
73,3,81.36
74,3,89.22
75,3,93.05
76,3,70.50
77,2,49.77
78,3,66.27
79,1,55.32
80,3,57.63
81,1,83.73
82,2,88.16
83,1,78.21
84,1,53.61
85,2,75.74
86,1,57.02
87,1,54.05
88,2,79.08
89,2,70.36
90,2,56.03
91,3,84.71
92,3,83.68
